CODCLI;VENDAS;DATA
765;166,388;27/08/2013
423;312,42;19/08/2013
137;737,94;28/08/2013
431;705,95;27/08/2013
1144;314,7;26/08/2013
410;0;21/08/2013
410;249,6;27/08/2013
1054;584,899;26/08/2013
1171;315,86;21/08/2013
1167;155,86;26/08/2013
199;602,608;28/08/2013
684;173,61;29/08/2013
741;449,505;29/08/2013
559;1150,71;29/08/2013
132;721,5;03/09/2013
150;427;03/09/2013
112;215;03/09/2013
824;199,6;29/08/2013
459;121,5;22/08/2013
1481;278,23;22/08/2013
5;691,37;19/08/2013
1054;525,69;21/08/2013
1033;307,9;22/08/2013
1513;1570;28/08/2013
1226;190,64;28/08/2013
423;172,4;02/09/2013
541;150,9;02/09/2013
775;198,87;21/08/2013
142;487,4;28/08/2013
684;318,756;03/09/2013
179;1310,5;03/09/2013
799;375;22/08/2013
410;9143,95;03/09/2013
17;547,3;26/08/2013
1233;136,33;27/08/2013
459;209,08;30/08/2013
611;265,94;16/08/2013
611;166,632;28/08/2013
410;3714,149;03/09/2013
275;150,8;03/09/2013
122;801;03/09/2013
438;1100;26/08/2013
1213;558,638;26/08/2013
765;233,4;20/08/2013
1233;295,12;04/09/2013
611;280,53;02/09/2013
765;546,671;03/09/2013
137;836,07;03/09/2013
15;259,8;22/08/2013
1220;641,327;02/09/2013
1054;392,5;02/09/2013
1114;389,2;02/09/2013
199;915,12;20/08/2013
137;226,75;21/08/2013
1134;271,99;02/09/2013
387;240;06/09/2013
1281;363,75;11/09/2013
15;427,542;09/09/2013
1564;308,8;09/09/2013
120;748;04/09/2013
462;544;06/09/2013
1033;234,3;12/09/2013
12;374;04/09/2013
716;155;04/09/2013
434;88;14/09/2013
1134;237,6;16/09/2013
1171;433,8;09/09/2013
765;379,1;10/09/2013
459;55,62;12/09/2013
1226;210,03;13/09/2013
824;500,2;12/09/2013
765;459,1;17/09/2013
1281;467,3;14/09/2013
1054;235,243;09/09/2013
462;250;17/09/2013
1213;816,92;09/09/2013
1033;237,5;05/09/2013
431;155;09/09/2013
17;586,965;09/09/2013
1576;444,5;16/09/2013
1144;364,552;16/09/2013
1627;76;18/09/2013
15;387,254;17/09/2013
199;406;17/09/2013
1236;479;17/09/2013
1226;790,96;13/09/2013
541;1002,9;04/09/2013
39;295;11/09/2013
740;430,28;05/09/2013
15;255,2;05/09/2013
824;234,6;05/09/2013
1256;334,6;18/09/2013
715;600;09/09/2013
684;575,98;09/09/2013
1481;177,94;19/09/2013
5;193,2;05/09/2013
39;204;12/09/2013
968;585,7;09/09/2013
1616;459,766;13/09/2013
122;338,5;20/09/2013
1462;284,354;04/09/2013
132;315;20/09/2013
716;474,51;06/09/2013
1144;366,84;09/09/2013
410;627,5;06/09/2013
423;181,89;10/09/2013
199;72,27;10/09/2013
410;6496,153;18/09/2013
1213;163,2;09/09/2013
963;202,2;12/09/2013
1481;239,07;13/09/2013
559;1336,81;11/09/2013
716;266;11/09/2013
1576;309,6;05/09/2013
1114;165,31;12/09/2013
431;88;14/09/2013
1564;361,72;16/09/2013
272;165,6;13/09/2013
410;690;20/09/2013
684;155,97;19/09/2013
1033;281,4;18/09/2013
142;370,003;19/09/2013
1631;784,22;19/09/2013
174;589;04/09/2013
739;449,505;04/09/2013
25;700,483;09/09/2013
1546;78,65;11/09/2013
1628;450;17/09/2013
1220;597,289;16/09/2013
1467;49,95;19/09/2013
338;762,32;05/09/2013
958;150;12/09/2013
611;196;10/09/2013
410;518,75;12/09/2013
1114;150;16/09/2013
1616;1179,395;13/09/2013
1481;0;19/09/2013
1462;347,584;19/09/2013
1114;406,58;09/09/2013
142;616,899;05/09/2013
824;686,6;19/09/2013
431;89;19/09/2013
434;968,85;04/09/2013
684;236,7;16/09/2013
123;340,895;18/09/2013
10;883,272;09/09/2013
834;3844,95;05/09/2013
1481;248,18;09/09/2013
685;392;16/09/2013
434;507,26;11/09/2013
1054;221,37;16/09/2013
1467;175;17/09/2013
1167;150,05;16/09/2013
5;281;17/09/2013
541;320,75;20/09/2013
434;679,758;18/09/2013
1220;194,189;09/09/2013
611;226,912;18/09/2013
958;640;19/09/2013
423;170,16;23/09/2013
1114;351,3;30/09/2013
1114;162,5;02/10/2013
459;35;23/09/2013
459;215,2;27/09/2013
1616;988,466;30/09/2013
1233;470,37;30/09/2013
1134;177,109;30/09/2013
684;322,376;30/09/2013
1167;218,958;23/09/2013
1220;716,904;23/09/2013
410;1297,6;24/09/2013
120;420;26/09/2013
824;449,8;26/09/2013
1462;345,62;30/09/2013
1220;367,7;30/09/2013
1564;236,234;30/09/2013
459;33,2;04/10/2013
1513;78;07/10/2013
1144;604,995;07/10/2013
462;298,5;07/10/2013
122;294;26/09/2013
112;210;26/09/2013
12;378,5;26/09/2013
765;446,2;24/09/2013
338;682,84;05/10/2013
434;625,82;02/10/2013
1054;477,09;23/09/2013
17;1045,568;07/10/2013
740;395;23/09/2013
423;198,927;07/10/2013
5;1288,33;08/10/2013
559;127,5;08/10/2013
1213;928,9;26/09/2013
459;52;02/10/2013
968;333,927;07/10/2013
765;362,97;09/10/2013
740;293,8;25/09/2013
1576;317,9;07/10/2013
1167;330,45;07/10/2013
1233;169,74;08/10/2013
1220;322,817;07/10/2013
1480;332,3;25/09/2013
123;283,252;02/10/2013
39;168;21/09/2013
294;180;27/09/2013
431;517;03/10/2013
25;426;23/09/2013
431;260;26/09/2013
824;786,19;03/10/2013
1462;174,67;08/10/2013
1447;1485,69;01/10/2013
